component,label,raw_score,baseline_iq,pool_n,below,equal,above,full_pool_percentile,full_pool_percentile_iq,group_size,effective_group_size,sampling,simulated_draws,exact_mean,exact_sd,exact_p025,exact_p975,exact_prob_more_than_5_points,exact_prob_more_than_10_points,empirical_mean,empirical_sd,empirical_p025,empirical_p975,empirical_prob_more_than_5_points,empirical_prob_more_than_10_points,maximum_empirical_cdf_error
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,15,15,with_replacement,1000000,100.0467119245058,4.876565652318962,91,111,0.2739977340372039,0.040064030571805354,100.03704099999999,4.876980312070062,90,111,0.274025,0.040161,0.0009015283724552736
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,15,15,without_replacement,1000000,100.02223286399257,4.387246404504072,91,109,0.22715194893577068,0.023814558496494387,100.02798899999999,4.387260149099777,91,109,0.22715800000000003,0.023999,0.0010253974372770869
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,20,20,with_replacement,1000000,100.20743817725864,4.228918043150145,92,108,0.19161592564322488,0.01671466245916529,100.209726,4.231984995829262,92,108,0.1916,0.016833,0.0006745099617156969
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,20,20,without_replacement,1000000,100.20000127965096,3.68206926024362,93,107,0.1338021171271992,0.006339620139860926,100.200608,3.685992733353662,93,107,0.133915,0.0064199999999999995,0.00079574202407795
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,25,25,with_replacement,1000000,100.08185855560234,3.7479712572726283,93,108,0.13601547771658687,0.007200738213955152,100.08433,3.747154447190561,93,108,0.135854,0.007224000000000001,0.0003764970310337068
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,25,25,without_replacement,1000000,100.04959145603416,3.1209375421412373,94,106,0.0746005183522152,0.0014164000549003603,100.04048,3.1221853515766806,94,106,0.074651,0.001366,0.0016166986612035639
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,30,30,with_replacement,1000000,100.02762152027542,3.348543427187416,93,107,0.09798686846960378,0.00314751265732058,100.02768700000001,3.3492032530186937,93,107,0.09806400000000001,0.003221,0.00040163161481931997
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,30,30,without_replacement,1000000,100.00936474012644,2.6428749891082353,95,105,0.038351272820984134,0.0002474287934214109,100.00623,2.643849690716172,95,105,0.038369,0.000254,0.0007863261994621173
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,35,35,with_replacement,1000000,100.03792909506815,3.098810914177227,94,106,0.07121260875356497,0.001392181664294449,100.040517,3.0999315109710084,94,106,0.071375,0.0013970000000000002,0.0003873040664300609
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,35,35,without_replacement,1000000,100.02771922087265,2.3631516881367487,96,105,0.017582729762111636,3.0816739361732494e-05,100.026318,2.363413498073496,96,105,0.017539,4.2e-05,0.000350500567396661
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,40,40,with_replacement,1000000,100.01730397650893,2.871316191038565,95,106,0.05212766518328348,0.000518471449890079,100.02081999999999,2.8744600410511882,95,106,0.05234,0.000538,0.0006999634790716414
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,40,40,without_replacement,1000000,99.97795533380565,2.08749756014164,96,104,0.006858817667209404,2.2081598603569363e-06,99.97506000000001,2.0851115069463315,96,104,0.006964,2e-06,0.0009232341172213943
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,45,45,with_replacement,1000000,100.02786810844717,2.671796682528765,95,105,0.03836688035035514,0.00023276235647830086,100.02813,2.6713600848818566,95,105,0.038379,0.000245,0.0003411048921177773
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,45,45,without_replacement,1000000,100.01052757610543,1.7920683376831466,97,103,0.0021175872459571485,8.733992484279134e-08,100.00959599999999,1.7907355798062425,97,103,0.002087,0.0,0.0006761316965745445
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,50,50,with_replacement,1000000,100.05711310486754,2.5899401838440195,95,105,0.028366036252062486,0.00010501705011328813,100.057295,2.5885204814671643,95,105,0.028004,9.900000000000001e-05,0.0004419091149979737
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,50,50,without_replacement,1000000,100.02612637700425,1.6402576160347297,97,103,0.00045842603749491717,1.0099888120269044e-09,100.02434399999999,1.6416964913357157,97,103,0.000464,0.0,0.0006214284203269194
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,55,55,with_replacement,1000000,100.0456587445338,2.4198642248755964,95,105,0.02516628445871684,4.757457816273897e-05,100.04586400000001,2.415495910471388,95,105,0.024870000000000003,5.1e-05,0.000729313813832122
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,55,55,without_replacement,1000000,100.01737652476476,1.3786576085640863,97,103,7.548645822848006e-05,6.666427779280384e-13,100.01865800000002,1.3788306201401244,97,103,7.2e-05,0.0,0.0004422890504820476
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,60,60,with_replacement,1000000,99.9749159917707,2.3212575084329554,95,105,0.018679751278612763,2.1625870988239222e-05,99.9749,2.3196047055479085,95,105,0.01854,2.1e-05,0.000327051869292716
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,60,60,without_replacement,1000000,99.92937498959697,1.1995934725114017,98,102,2.636950089566705e-06,0.0,99.92973899999998,1.2010646909633969,98,102,3e-06,0.0,0.000550050323041007
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,75,75,with_replacement,1000000,99.9771890143401,2.1185407301009223,96,104,0.00953187465431398,2.063840430452234e-06,99.973062,2.1184929417290963,96,104,0.009554,1e-06,0.001234993081958402
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,75,75,without_replacement,1000000,99.91472355868856,0.6601563875865802,99,101,0.0,0.0,99.91381,0.6603917654695582,99,101,0.0,0.0,0.0008122423524608291
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,82,82,with_replacement,1000000,100.01531521183654,2.0099728162561834,96,104,0.006501161214188044,4.485097355254719e-07,100.01311100000001,2.007286502141386,96,104,0.006432,1e-06,0.0006764358723700958
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,82,82,without_replacement,1000000,100.0,0.0,100,100,0.0,0.0,100.0,0.0,100,100,0.0,0.0,0.0
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,100,100,with_replacement,1000000,100.02148259749075,1.8525057030190237,97,104,0.0023035730898950412,3.8055168225209106e-08,100.021409,1.8527305942092607,97,104,0.002273,0.0,0.0002866378618660015
working_memory,Working memory,8,100,82,41,9,32,55.48780487804878,102.06993385824917,100,82,without_replacement,1000000,100.0,0.0,100,100,0.0,0.0,100.0,0.0,100,100,0.0,0.0,0.0
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,15,15,with_replacement,1000000,101.1626651587833,4.931138428358011,92,111,0.28147992654686194,0.027502511046687085,101.15993800000001,4.93478022166702,92,111,0.28226300000000004,0.027663,0.0005831470089597834
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,15,15,without_replacement,1000000,101.13940624535272,4.247265150037976,92,110,0.21519132482611608,0.011489948766782283,101.134962,4.243508131081641,92,110,0.214765,0.011359000000000001,0.0011199165183206627
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,20,20,with_replacement,1000000,101.34050933651957,4.2797877770772,93,109,0.19991294691592693,0.011952350103754495,101.337439,4.275292261504353,93,109,0.199615,0.01167,0.0005401739305476161
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,20,20,without_replacement,1000000,101.33482562565887,3.505148803480168,94,108,0.11693093444493924,0.002300518120074195,101.334779,3.5046312247023934,94,108,0.11655499999999999,0.002323,0.00045596590075119847
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,25,25,with_replacement,1000000,101.11472591676738,3.7225239450474685,94,108,0.1426833630510041,0.005389453766232729,101.11515299999999,3.724857149823467,94,108,0.142938,0.0054589999999999994,0.0004084900985685813
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,25,25,without_replacement,1000000,101.08783596400352,2.8275161819154557,96,107,0.05630871010460881,0.0003033559800893843,101.085875,2.82678483163735,96,107,0.056262999999999994,0.00028,0.000498257591034168
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,30,30,with_replacement,1000000,101.08061816086499,3.4050563610062468,94,108,0.10399357497613501,0.002430356390426922,101.082045,3.4070115376932613,94,108,0.10403699999999999,0.002461,0.000329110242291486
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,30,30,without_replacement,1000000,101.04531525114557,2.418764843452769,96,106,0.022347880657626294,2.078191698988133e-05,101.04449199999999,2.420650008145746,96,106,0.022384,2.3000000000000003e-05,0.0008461617530878818
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,35,35,with_replacement,1000000,101.00013423406386,3.125925801269201,95,107,0.07630940088857327,0.001109638985028544,100.998613,3.125643785883318,95,107,0.076205,0.0011560000000000001,0.0005342270684129957
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,35,35,without_replacement,1000000,100.94397950227687,2.0384144304920944,97,105,0.0064439475916069355,4.604307786023117e-07,100.943432,2.0404112481007353,97,105,0.006466,0.0,0.0006318320432942004
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,40,40,with_replacement,1000000,101.09424672515928,3.002735273657664,95,107,0.06676657853562407,0.0005092221345175119,101.08990800000001,3.000520713398926,95,107,0.066451,0.000494,0.0007622058245376206
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,40,40,without_replacement,1000000,101.08352508130878,1.7673544529468492,98,105,0.0013755501049605373,6.886538839887842e-10,101.082999,1.7682958366741126,98,105,0.0013440000000000001,0.0,0.0005147229930176633
fluid,Abstract reasoning,7,101,60,31,5,24,55.833333333333336,102.20117433229822,45,45,with_replacement,1000000,101.0110613138238,2.741455715342913,96,107,0.04941798290469581,0.0002351790788730856,101.012947,2.7391004682543136,96,107,0.049086,0.00022400000000000002,0.0005812428979654616
