pcode,prolific_id,username,session,finished,period,block_in_period,block_global,task,task_label,difficulty,set_id,score,report_number
cwityo2a,67cb6ffcdfb183f140c5439c,Leaf,4nes3mql,True,3,3,9,shape_rotation,Spatial reasoning,hard,hard_2,1,1
d72ky34k,5f504fd2cc049d1cbf29c40d,MaxC,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_2,5,5
d72ky34k,5f504fd2cc049d1cbf29c40d,MaxC,4nes3mql,True,1,2,2,working_memory,Working memory,medium,medium_2,2,2
d72ky34k,5f504fd2cc049d1cbf29c40d,MaxC,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,0,0
d72ky34k,5f504fd2cc049d1cbf29c40d,MaxC,4nes3mql,True,2,1,4,sequences,Numerical reasoning,easy,easy_1,5,5
d72ky34k,5f504fd2cc049d1cbf29c40d,MaxC,4nes3mql,True,2,2,5,sequences,Numerical reasoning,medium,medium_1,5,5
d72ky34k,5f504fd2cc049d1cbf29c40d,MaxC,4nes3mql,True,2,3,6,sequences,Numerical reasoning,hard,hard_2,5,5
dly8dg3m,6a20b61b45d6a8c06ef9855b,Lolie,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,5,5
e3eonsq5,612323ddbebadb638a141ce3,Aten,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_1,5,2
e3eonsq5,612323ddbebadb638a141ce3,Aten,4nes3mql,True,1,2,2,working_memory,Working memory,medium,medium_2,0,0
e3eonsq5,612323ddbebadb638a141ce3,Aten,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,0,0
e3eonsq5,612323ddbebadb638a141ce3,Aten,4nes3mql,True,3,1,7,sequences,Numerical reasoning,easy,easy_2,4,0
e3eonsq5,612323ddbebadb638a141ce3,Aten,4nes3mql,True,3,2,8,sequences,Numerical reasoning,medium,medium_2,1,0
e4hga757,62d43cee3d60ac98c1dcacc8,rm537,4nes3mql,True,3,1,7,sequences,Numerical reasoning,easy,easy_2,4,4
e4hga757,62d43cee3d60ac98c1dcacc8,rm537,4nes3mql,True,3,2,8,sequences,Numerical reasoning,medium,medium_1,5,5
fw1jx6no,671537ffd700463e5e5af0ec,Seb,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_1,5,5
fw1jx6no,671537ffd700463e5e5af0ec,Seb,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,2,2
fw1jx6no,671537ffd700463e5e5af0ec,Seb,4nes3mql,True,3,1,7,ravens,Abstract reasoning,easy,easy_1,2,2
fw1jx6no,671537ffd700463e5e5af0ec,Seb,4nes3mql,True,3,2,8,ravens,Abstract reasoning,medium,medium_1,2,2
fw1jx6no,671537ffd700463e5e5af0ec,Seb,4nes3mql,True,3,3,9,ravens,Abstract reasoning,hard,hard_2,0,0
h134yjjy,69efe9aab00d9ecb11911b34,realcashcereal,4nes3mql,True,2,2,5,ravens,Abstract reasoning,medium,medium_1,2,2
iqymtgzk,5f97525e873236100b213eaa,danny,4nes3mql,True,1,2,2,ravens,Abstract reasoning,medium,medium_1,3,3
iqymtgzk,5f97525e873236100b213eaa,danny,4nes3mql,True,2,1,4,working_memory,Working memory,easy,easy_1,5,5
jnlgi7g6,66d7a4ca0fcf61aba9eb9328,Chasity,4nes3mql,True,1,1,1,ravens,Abstract reasoning,easy,easy_1,1,1
jnlgi7g6,66d7a4ca0fcf61aba9eb9328,Chasity,4nes3mql,True,1,3,3,ravens,Abstract reasoning,hard,hard_1,1,1
jnlgi7g6,66d7a4ca0fcf61aba9eb9328,Chasity,4nes3mql,True,2,1,4,sequences,Numerical reasoning,easy,easy_1,2,2
jnlgi7g6,66d7a4ca0fcf61aba9eb9328,Chasity,4nes3mql,True,2,2,5,sequences,Numerical reasoning,medium,medium_1,2,2
jnlgi7g6,66d7a4ca0fcf61aba9eb9328,Chasity,4nes3mql,True,2,3,6,sequences,Numerical reasoning,hard,hard_1,1,1
k0bfhaus,69a63d091a4c4a6739617be6,john,4nes3mql,True,2,1,4,shape_rotation,Spatial reasoning,easy,easy_2,0,0
k0bfhaus,69a63d091a4c4a6739617be6,john,4nes3mql,True,2,2,5,shape_rotation,Spatial reasoning,medium,medium_1,1,1
k0bfhaus,69a63d091a4c4a6739617be6,john,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_2,3,3
k0bfhaus,69a63d091a4c4a6739617be6,john,4nes3mql,True,3,1,7,sequences,Numerical reasoning,easy,easy_1,5,5
k0bfhaus,69a63d091a4c4a6739617be6,john,4nes3mql,True,3,2,8,sequences,Numerical reasoning,medium,medium_1,4,4
k0bfhaus,69a63d091a4c4a6739617be6,john,4nes3mql,True,3,3,9,sequences,Numerical reasoning,hard,hard_2,2,2
kba7fmva,678c80dd5b0dbb112da2f65b,dixie,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_2,4,5
kba7fmva,678c80dd5b0dbb112da2f65b,dixie,4nes3mql,True,1,2,2,working_memory,Working memory,medium,medium_1,0,4
kba7fmva,678c80dd5b0dbb112da2f65b,dixie,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,0,4
kba7fmva,678c80dd5b0dbb112da2f65b,dixie,4nes3mql,True,3,1,7,sequences,Numerical reasoning,easy,easy_1,5,5
kba7fmva,678c80dd5b0dbb112da2f65b,dixie,4nes3mql,True,3,2,8,sequences,Numerical reasoning,medium,medium_1,2,4
kdxmll5d,6a1208eb7708459e0e98477a,ZXZX,4nes3mql,True,2,1,4,working_memory,Working memory,easy,easy_1,5,0
kdxmll5d,6a1208eb7708459e0e98477a,ZXZX,4nes3mql,True,2,2,5,working_memory,Working memory,medium,medium_1,3,0
kdxmll5d,6a1208eb7708459e0e98477a,ZXZX,4nes3mql,True,2,3,6,working_memory,Working memory,hard,hard_2,1,1
kdxmll5d,6a1208eb7708459e0e98477a,ZXZX,4nes3mql,True,3,1,7,ravens,Abstract reasoning,easy,easy_1,1,1
kdxmll5d,6a1208eb7708459e0e98477a,ZXZX,4nes3mql,True,3,2,8,ravens,Abstract reasoning,medium,medium_2,4,4
kdxmll5d,6a1208eb7708459e0e98477a,ZXZX,4nes3mql,True,3,3,9,ravens,Abstract reasoning,hard,hard_2,4,4
kh3arjpf,111111111111111111111111,asdasdadsasd,jbnjx4bs,False,2,1,4,working_memory,Working memory,easy,easy_2,0,5
lh8tev58,64d5219df0415c9a7c609c19,FoulRabbit,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_2,5,5
lh8tev58,64d5219df0415c9a7c609c19,FoulRabbit,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_1,5,5
lh8tev58,64d5219df0415c9a7c609c19,FoulRabbit,4nes3mql,True,1,3,3,sequences,Numerical reasoning,hard,hard_1,1,1
lh8tev58,64d5219df0415c9a7c609c19,FoulRabbit,4nes3mql,True,2,1,4,working_memory,Working memory,easy,easy_1,5,5
lh8tev58,64d5219df0415c9a7c609c19,FoulRabbit,4nes3mql,True,2,2,5,working_memory,Working memory,medium,medium_1,3,3
lh8tev58,64d5219df0415c9a7c609c19,FoulRabbit,4nes3mql,True,2,3,6,working_memory,Working memory,hard,hard_2,0,0
lxwg3x1y,676302645c023570f5d43a0f,Dee,4nes3mql,True,1,2,2,ravens,Abstract reasoning,medium,medium_2,2,2
lxwg3x1y,676302645c023570f5d43a0f,Dee,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_2,1,1
m3j5psec,6400d9b9ff7296c2bce939ef,hi,4nes3mql,True,2,1,4,shape_rotation,Spatial reasoning,easy,easy_2,1,1
m3j5psec,6400d9b9ff7296c2bce939ef,hi,4nes3mql,True,2,2,5,shape_rotation,Spatial reasoning,medium,medium_2,0,0
m3j5psec,6400d9b9ff7296c2bce939ef,hi,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_2,1,1
m3j5psec,6400d9b9ff7296c2bce939ef,hi,4nes3mql,True,3,1,7,working_memory,Working memory,easy,easy_1,5,5
m3j5psec,6400d9b9ff7296c2bce939ef,hi,4nes3mql,True,3,2,8,working_memory,Working memory,medium,medium_2,2,2
m3j5psec,6400d9b9ff7296c2bce939ef,hi,4nes3mql,True,3,3,9,working_memory,Working memory,hard,hard_1,3,3
nspyke8p,6a03f0153fb915a8bff23d9b,D,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,4,4
nspyke8p,6a03f0153fb915a8bff23d9b,D,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_1,4,4
nspyke8p,6a03f0153fb915a8bff23d9b,D,4nes3mql,True,1,3,3,sequences,Numerical reasoning,hard,hard_2,2,0
nspyke8p,6a03f0153fb915a8bff23d9b,D,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_1,1,0
ognv7vku,69ea3b15912a521f9cff7fe4,mousegirl,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_1,5,5
ognv7vku,69ea3b15912a521f9cff7fe4,mousegirl,4nes3mql,True,1,2,2,working_memory,Working memory,medium,medium_2,1,1
ognv7vku,69ea3b15912a521f9cff7fe4,mousegirl,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_1,2,2
ognv7vku,69ea3b15912a521f9cff7fe4,mousegirl,4nes3mql,True,2,1,4,sequences,Numerical reasoning,easy,easy_1,5,5
ognv7vku,69ea3b15912a521f9cff7fe4,mousegirl,4nes3mql,True,2,2,5,sequences,Numerical reasoning,medium,medium_2,0,0
ognv7vku,69ea3b15912a521f9cff7fe4,mousegirl,4nes3mql,True,2,3,6,sequences,Numerical reasoning,hard,hard_2,3,3
qwp5qg9q,69eb8ca1f2118f5c8093856c,Bob,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_2,3,3
qwp5qg9q,69eb8ca1f2118f5c8093856c,Bob,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_1,2,2
qwp5qg9q,69eb8ca1f2118f5c8093856c,Bob,4nes3mql,True,1,3,3,sequences,Numerical reasoning,hard,hard_2,0,0
qwp5qg9q,69eb8ca1f2118f5c8093856c,Bob,4nes3mql,True,3,1,7,working_memory,Working memory,easy,easy_2,4,4
qwp5qg9q,69eb8ca1f2118f5c8093856c,Bob,4nes3mql,True,3,2,8,working_memory,Working memory,medium,medium_2,1,1
qwp5qg9q,69eb8ca1f2118f5c8093856c,Bob,4nes3mql,True,3,3,9,working_memory,Working memory,hard,hard_1,1,1
r92zd6zi,6a00b0ca46e3f2822d0349b6,sammy,4nes3mql,True,1,1,1,ravens,Abstract reasoning,easy,easy_2,4,4
r92zd6zi,6a00b0ca46e3f2822d0349b6,sammy,4nes3mql,True,1,2,2,ravens,Abstract reasoning,medium,medium_1,2,2
r92zd6zi,6a00b0ca46e3f2822d0349b6,sammy,4nes3mql,True,1,3,3,ravens,Abstract reasoning,hard,hard_1,1,1
r92zd6zi,6a00b0ca46e3f2822d0349b6,sammy,4nes3mql,True,3,1,7,working_memory,Working memory,easy,easy_1,5,5
r92zd6zi,6a00b0ca46e3f2822d0349b6,sammy,4nes3mql,True,3,2,8,working_memory,Working memory,medium,medium_1,2,2
r92zd6zi,6a00b0ca46e3f2822d0349b6,sammy,4nes3mql,True,3,3,9,working_memory,Working memory,hard,hard_1,0,0
rn1d0uqi,6a08ecd30d3ccf22dfb2a2cb,AY,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_2,4,4
rn1d0uqi,6a08ecd30d3ccf22dfb2a2cb,AY,4nes3mql,True,1,2,2,working_memory,Working memory,medium,medium_2,4,4
rn1d0uqi,6a08ecd30d3ccf22dfb2a2cb,AY,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,4,4
rn1d0uqi,6a08ecd30d3ccf22dfb2a2cb,AY,4nes3mql,True,2,1,4,sequences,Numerical reasoning,easy,easy_2,5,5
rn1d0uqi,6a08ecd30d3ccf22dfb2a2cb,AY,4nes3mql,True,2,2,5,sequences,Numerical reasoning,medium,medium_2,1,1
rn1d0uqi,6a08ecd30d3ccf22dfb2a2cb,AY,4nes3mql,True,2,3,6,sequences,Numerical reasoning,hard,hard_1,5,5
ro6bskab,69f919a2b9a34ba9c800761b,chloe,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,5,5
ro6bskab,69f919a2b9a34ba9c800761b,chloe,4nes3mql,True,2,1,4,working_memory,Working memory,easy,easy_2,5,5
smx7dsyw,6a1b4c457a0e070e53455b08,Jomama,4nes3mql,True,2,1,4,shape_rotation,Spatial reasoning,easy,easy_2,2,2
smx7dsyw,6a1b4c457a0e070e53455b08,Jomama,4nes3mql,True,2,2,5,shape_rotation,Spatial reasoning,medium,medium_2,1,1
smx7dsyw,6a1b4c457a0e070e53455b08,Jomama,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_2,2,2
smx7dsyw,6a1b4c457a0e070e53455b08,Jomama,4nes3mql,True,3,1,7,sequences,Numerical reasoning,easy,easy_1,4,4
smx7dsyw,6a1b4c457a0e070e53455b08,Jomama,4nes3mql,True,3,2,8,sequences,Numerical reasoning,medium,medium_1,3,3
smx7dsyw,6a1b4c457a0e070e53455b08,Jomama,4nes3mql,True,3,3,9,sequences,Numerical reasoning,hard,hard_1,2,2
t75yu6fd,6a2343549e35d0b3592b1578,johnpork,4nes3mql,True,1,1,1,ravens,Abstract reasoning,easy,easy_2,3,3
t75yu6fd,6a2343549e35d0b3592b1578,johnpork,4nes3mql,True,1,2,2,ravens,Abstract reasoning,medium,medium_2,5,5
t75yu6fd,6a2343549e35d0b3592b1578,johnpork,4nes3mql,True,2,1,4,sequences,Numerical reasoning,easy,easy_2,4,4
t75yu6fd,6a2343549e35d0b3592b1578,johnpork,4nes3mql,True,2,2,5,sequences,Numerical reasoning,medium,medium_2,4,4
ub2t4ves,57ff0e138f420f00011a5d0e,Lily,4nes3mql,True,1,1,1,shape_rotation,Spatial reasoning,easy,easy_2,3,3
ub2t4ves,57ff0e138f420f00011a5d0e,Lily,4nes3mql,True,1,2,2,shape_rotation,Spatial reasoning,medium,medium_2,3,3
ub2t4ves,57ff0e138f420f00011a5d0e,Lily,4nes3mql,True,1,3,3,shape_rotation,Spatial reasoning,hard,hard_1,3,3
ub2t4ves,57ff0e138f420f00011a5d0e,Lily,4nes3mql,True,3,1,7,sequences,Numerical reasoning,easy,easy_1,5,5
ub2t4ves,57ff0e138f420f00011a5d0e,Lily,4nes3mql,True,3,2,8,sequences,Numerical reasoning,medium,medium_2,3,3
ub2t4ves,57ff0e138f420f00011a5d0e,Lily,4nes3mql,True,3,3,9,sequences,Numerical reasoning,hard,hard_2,3,3
v4yxfx8e,5842eb2904e7550001a06b14,Shay,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_1,5,5
v4yxfx8e,5842eb2904e7550001a06b14,Shay,4nes3mql,True,1,3,3,working_memory,Working memory,hard,hard_2,3,3
v4yxfx8e,5842eb2904e7550001a06b14,Shay,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_1,3,3
v6jqupmz,66ccbb7d4109382e498e3c82,April,4nes3mql,True,3,2,8,working_memory,Working memory,medium,medium_1,3,3
v6jqupmz,66ccbb7d4109382e498e3c82,April,4nes3mql,True,3,3,9,working_memory,Working memory,hard,hard_1,1,1
w4bbt1zc,6a074e3da041168462f571de,Hummingbird,4nes3mql,True,1,1,1,working_memory,Working memory,easy,easy_1,5,5
wot71rc0,5dd4767b32288646716dc98a,sweetthang,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_1,5,5
wr3x8mj9,6a0a28cd6f2eb90a33a396f5,Azra,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,4,4
wr3x8mj9,6a0a28cd6f2eb90a33a396f5,Azra,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_2,0,0
wr3x8mj9,6a0a28cd6f2eb90a33a396f5,Azra,4nes3mql,True,2,1,4,ravens,Abstract reasoning,easy,easy_2,5,5
wr3x8mj9,6a0a28cd6f2eb90a33a396f5,Azra,4nes3mql,True,2,2,5,ravens,Abstract reasoning,medium,medium_2,4,4
x7kqz866,6a10b83651fc322bb99d18ef,rl,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_1,4,4
x7kqz866,6a10b83651fc322bb99d18ef,rl,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_2,3,3
x7kqz866,6a10b83651fc322bb99d18ef,rl,4nes3mql,True,1,3,3,sequences,Numerical reasoning,hard,hard_2,0,0
x7kqz866,6a10b83651fc322bb99d18ef,rl,4nes3mql,True,2,1,4,shape_rotation,Spatial reasoning,easy,easy_2,3,3
x7kqz866,6a10b83651fc322bb99d18ef,rl,4nes3mql,True,2,2,5,shape_rotation,Spatial reasoning,medium,medium_1,0,0
x7kqz866,6a10b83651fc322bb99d18ef,rl,4nes3mql,True,2,3,6,shape_rotation,Spatial reasoning,hard,hard_2,1,4
y66a6w6n,67fefff07737ef5813ecca6e,dabucs,4nes3mql,True,1,1,1,sequences,Numerical reasoning,easy,easy_2,5,5
y66a6w6n,67fefff07737ef5813ecca6e,dabucs,4nes3mql,True,1,2,2,sequences,Numerical reasoning,medium,medium_1,5,3
y66a6w6n,67fefff07737ef5813ecca6e,dabucs,4nes3mql,True,1,3,3,sequences,Numerical reasoning,hard,hard_2,3,2
y66a6w6n,67fefff07737ef5813ecca6e,dabucs,4nes3mql,True,2,3,6,ravens,Abstract reasoning,hard,hard_2,3,3
yrf3j6g4,5daf1d3f8d1f230014c71e21,dangerouswithrocks,4nes3mql,True,1,1,1,shape_rotation,Spatial reasoning,easy,easy_2,1,1
yrf3j6g4,5daf1d3f8d1f230014c71e21,dangerouswithrocks,4nes3mql,True,1,2,2,shape_rotation,Spatial reasoning,medium,medium_2,0,2
yrf3j6g4,5daf1d3f8d1f230014c71e21,dangerouswithrocks,4nes3mql,True,1,3,3,shape_rotation,Spatial reasoning,hard,hard_1,1,1
yrf3j6g4,5daf1d3f8d1f230014c71e21,dangerouswithrocks,4nes3mql,True,3,1,7,working_memory,Working memory,easy,easy_1,5,5
yrf3j6g4,5daf1d3f8d1f230014c71e21,dangerouswithrocks,4nes3mql,True,3,2,8,working_memory,Working memory,medium,medium_2,1,3
yrf3j6g4,5daf1d3f8d1f230014c71e21,dangerouswithrocks,4nes3mql,True,3,3,9,working_memory,Working memory,hard,hard_1,3,3
